build,tier,query,ops,rep,ms
stock,B,index_scan,1,4,92.057
stock,B,cast_int,1,4,526.133
stock,B,cast_float8,1,4,905.96
stock,B,sum_d,1,4,446.642
stock,B,sum_mul_d,1,4,712.628
stock,B,ref_money_sum,1,4,318.49
stock,B,ref_money_8add,1,4,472.254
stock,B,ref_money_mul2,1,4,333.417
stock,B,ref_bigint_sum,1,4,335.072
stock,B,ref_bigint_8add,1,4,482.993
stock,B,ref_bigint_mul,1,4,353.025
stock,B,ref_float8_sum,1,4,915.762
stock,B,num_mul2,1,4,646.07
dec128,A,add,0,4,293.201
dec128,A,add,1,4,405.055
dec128,A,add,2,4,453.924
dec128,A,add,4,4,549.404
dec128,A,add,8,4,746.363
dec128,A,sub,0,4,292.736
dec128,A,sub,1,4,417.189
dec128,A,sub,2,4,466.139
dec128,A,sub,4,4,562.2
dec128,A,sub,8,4,756.002
dec128,A,mul,0,4,291.097
dec128,A,mul,1,4,414.887
dec128,A,mul,2,4,462.533
dec128,A,mul,4,4,562.418
dec128,A,div,0,4,292.344
dec128,A,div,1,4,562.268
dec128,A,div,2,4,773.813
dec128,A,div,4,4,1231.233
dec128,A,cmp,0,4,291.882
dec128,A,cmp,1,4,369.926
dec128,A,cmp,2,4,404.238
dec128,A,cmp,4,4,485.686
dec128,B,scan_count,1,4,291.282
dec128,B,sum,1,4,318.785
dec128,B,avg,1,4,319.978
dec128,B,sum_8add,1,4,777.481
dec128,B,sum_expr_mixed,1,4,546.187
dec128,B,sum_mul,1,4,449.284
dec128,B,sum_div,1,4,600.827
dec128,B,stddev,1,4,553.609
dec128,B,order_by_limit,1,4,0.113
dec128,B,where_gt,1,4,371.052
dec128,B,text_out,1,4,562.76
dec128,B,hash_agg,1,4,655.782
dec128,B,hash_join,1,4,1129.042
dec128,B,index_scan,1,4,101.644
dec128,B,cast_int,1,4,597.285
dec128,B,cast_float8,1,4,938.882
dec128,B,sum_d,1,4,331.861
dec128,B,sum_mul_d,1,4,475.59
dec128,B,ref_money_sum,1,4,325.409
dec128,B,ref_money_8add,1,4,453.175
dec128,B,ref_money_mul2,1,4,332.955
dec128,B,ref_bigint_sum,1,4,335.481
dec128,B,ref_bigint_8add,1,4,465.07
dec128,B,ref_bigint_mul,1,4,353.8
dec128,B,ref_float8_sum,1,4,943.109
dec128,B,num_mul2,1,4,438.256
stock,A,add,0,5,279.808
stock,A,add,1,5,619.585
stock,A,add,2,5,879.258
stock,A,add,4,5,1421.765
stock,A,add,8,5,2441.176
stock,A,sub,0,5,275.448
stock,A,sub,1,5,647.373
stock,A,sub,2,5,898.337
stock,A,sub,4,5,1450.146
stock,A,sub,8,5,2400.709
stock,A,mul,0,5,275.073
stock,A,mul,1,5,652.737
stock,A,mul,2,5,913.656
stock,A,mul,4,5,1441.692
stock,A,div,0,5,276.298
stock,A,div,1,5,813.523
stock,A,div,2,5,1245.322
stock,A,div,4,5,2162.357
stock,A,cmp,0,5,274.99
stock,A,cmp,1,5,459.936
stock,A,cmp,2,5,553.014
stock,A,cmp,4,5,729.993
stock,B,scan_count,1,5,274.812
stock,B,sum,1,5,418.549
stock,B,avg,1,5,420.098
stock,B,sum_8add,1,5,2492.269
stock,B,sum_expr_mixed,1,5,1370.52
stock,B,sum_mul,1,5,720.916
stock,B,sum_div,1,5,900.951
stock,B,stddev,1,5,505.067
stock,B,order_by_limit,1,5,0.135
stock,B,where_gt,1,5,460.218
stock,B,text_out,1,5,509.692
stock,B,hash_agg,1,5,919.809
stock,B,hash_join,1,5,1094.577
stock,B,index_scan,1,5,92.787
stock,B,cast_int,1,5,528.632
stock,B,cast_float8,1,5,907.842
stock,B,sum_d,1,5,446.194
stock,B,sum_mul_d,1,5,711.418
stock,B,ref_money_sum,1,5,320.284
stock,B,ref_money_8add,1,5,471.777
stock,B,ref_money_mul2,1,5,333.21
stock,B,ref_bigint_sum,1,5,333.863
stock,B,ref_bigint_8add,1,5,482.436
stock,B,ref_bigint_mul,1,5,353.027
stock,B,ref_float8_sum,1,5,918.136
stock,B,num_mul2,1,5,645.356
dec128,A,add,0,5,293.486
dec128,A,add,1,5,404.247
dec128,A,add,2,5,452.922
dec128,A,add,4,5,548.439
dec128,A,add,8,5,745.965
dec128,A,sub,0,5,292.741
dec128,A,sub,1,5,416.743
dec128,A,sub,2,5,465.211
dec128,A,sub,4,5,560.661
dec128,A,sub,8,5,753.473
dec128,A,mul,0,5,291.191
dec128,A,mul,1,5,413.647
dec128,A,mul,2,5,461.787
dec128,A,mul,4,5,560.665
dec128,A,div,0,5,290.457
dec128,A,div,1,5,561.165
dec128,A,div,2,5,772.019
dec128,A,div,4,5,1227.77
dec128,A,cmp,0,5,291.428
dec128,A,cmp,1,5,369.618
dec128,A,cmp,2,5,403.809
dec128,A,cmp,4,5,485.029
dec128,B,scan_count,1,5,291.07
dec128,B,sum,1,5,318.364
dec128,B,avg,1,5,320.76
dec128,B,sum_8add,1,5,775.882
dec128,B,sum_expr_mixed,1,5,544.429
dec128,B,sum_mul,1,5,446.542
dec128,B,sum_div,1,5,597.532
dec128,B,stddev,1,5,552.22
dec128,B,order_by_limit,1,5,0.11
dec128,B,where_gt,1,5,371.059
dec128,B,text_out,1,5,563.994
dec128,B,hash_agg,1,5,654.89
dec128,B,hash_join,1,5,1005.038
dec128,B,index_scan,1,5,100.164
dec128,B,cast_int,1,5,595.99
dec128,B,cast_float8,1,5,936.774
dec128,B,sum_d,1,5,329.188
dec128,B,sum_mul_d,1,5,474.3
dec128,B,ref_money_sum,1,5,319.835
dec128,B,ref_money_8add,1,5,449.343
dec128,B,ref_money_mul2,1,5,331.659
dec128,B,ref_bigint_sum,1,5,334.917
dec128,B,ref_bigint_8add,1,5,461.673
dec128,B,ref_bigint_mul,1,5,351.62
dec128,B,ref_float8_sum,1,5,941.187
dec128,B,num_mul2,1,5,436.681
stock,A,add,0,6,275.016
stock,A,add,1,6,621.326
stock,A,add,2,6,874.061
stock,A,add,4,6,1409.403
stock,A,add,8,6,2409.874
stock,A,sub,0,6,275.095
stock,A,sub,1,6,644.141
stock,A,sub,2,6,893.822
stock,A,sub,4,6,1448.128
stock,A,sub,8,6,2391.651
stock,A,mul,0,6,274.271
stock,A,mul,1,6,651.436
stock,A,mul,2,6,912.094
stock,A,mul,4,6,1440.488
stock,A,div,0,6,279.334
stock,A,div,1,6,813.174
stock,A,div,2,6,1244.838
stock,A,div,4,6,2163.983
stock,A,cmp,0,6,277.82
stock,A,cmp,1,6,460.071
stock,A,cmp,2,6,551.436
stock,A,cmp,4,6,730.053
stock,B,scan_count,1,6,277.229
stock,B,sum,1,6,418.722
stock,B,avg,1,6,418.465
stock,B,sum_8add,1,6,2509.476
stock,B,sum_expr_mixed,1,6,1283.426
stock,B,sum_mul,1,6,720.97
stock,B,sum_div,1,6,898.943
stock,B,stddev,1,6,504.663
stock,B,order_by_limit,1,6,0.14
stock,B,where_gt,1,6,459.594
stock,B,text_out,1,6,508.051
stock,B,hash_agg,1,6,921.37
stock,B,hash_join,1,6,992.106
stock,B,index_scan,1,6,91.642
stock,B,cast_int,1,6,524.695
stock,B,cast_float8,1,6,903.38
stock,B,sum_d,1,6,446.278
stock,B,sum_mul_d,1,6,711.738
stock,B,ref_money_sum,1,6,319.472
stock,B,ref_money_8add,1,6,473.161
stock,B,ref_money_mul2,1,6,332.338
stock,B,ref_bigint_sum,1,6,333.398
stock,B,ref_bigint_8add,1,6,482.657
stock,B,ref_bigint_mul,1,6,353.177
stock,B,ref_float8_sum,1,6,916.555
stock,B,num_mul2,1,6,646.043
dec128,A,add,0,6,293.016
dec128,A,add,1,6,404.011
dec128,A,add,2,6,452.053
dec128,A,add,4,6,547.275
dec128,A,add,8,6,745.149
dec128,A,sub,0,6,291.201
dec128,A,sub,1,6,416.885
dec128,A,sub,2,6,465.6
dec128,A,sub,4,6,562.729
dec128,A,sub,8,6,755.161
dec128,A,mul,0,6,292.114
dec128,A,mul,1,6,414.721
dec128,A,mul,2,6,461.992
dec128,A,mul,4,6,560.91
dec128,A,div,0,6,291.195
dec128,A,div,1,6,561.919
dec128,A,div,2,6,772.469
dec128,A,div,4,6,1227.476
dec128,A,cmp,0,6,292.191
dec128,A,cmp,1,6,368.27
dec128,A,cmp,2,6,402.362
dec128,A,cmp,4,6,484.459
dec128,B,scan_count,1,6,291.502
dec128,B,sum,1,6,318.015
dec128,B,avg,1,6,320.139
dec128,B,sum_8add,1,6,775.671
dec128,B,sum_expr_mixed,1,6,545.278
dec128,B,sum_mul,1,6,447.166
dec128,B,sum_div,1,6,597.893
dec128,B,stddev,1,6,552.753
dec128,B,order_by_limit,1,6,0.11
dec128,B,where_gt,1,6,370.66
dec128,B,text_out,1,6,562.746
dec128,B,hash_agg,1,6,654.178
dec128,B,hash_join,1,6,1010.976
dec128,B,index_scan,1,6,100.824
dec128,B,cast_int,1,6,594.609
dec128,B,cast_float8,1,6,937.642
dec128,B,sum_d,1,6,329.887
dec128,B,sum_mul_d,1,6,474.434
dec128,B,ref_money_sum,1,6,320.713
dec128,B,ref_money_8add,1,6,449.837
dec128,B,ref_money_mul2,1,6,332.301
dec128,B,ref_bigint_sum,1,6,337.363
dec128,B,ref_bigint_8add,1,6,461.85
dec128,B,ref_bigint_mul,1,6,350.795
dec128,B,ref_float8_sum,1,6,942.453
dec128,B,num_mul2,1,6,437.279
stock,A,add,0,7,275.175
stock,A,add,1,7,618.353
stock,A,add,2,7,875.602
stock,A,add,4,7,1418.525
stock,A,add,8,7,2400.732
stock,A,sub,0,7,276.328
stock,A,sub,1,7,645.845
stock,A,sub,2,7,893.861
stock,A,sub,4,7,1445.704
stock,A,sub,8,7,2398.975
stock,A,mul,0,7,275.937
stock,A,mul,1,7,652.345
stock,A,mul,2,7,911.548
stock,A,mul,4,7,1438.479
stock,A,div,0,7,275.46
stock,A,div,1,7,811.608
stock,A,div,2,7,1244.476
stock,A,div,4,7,2162.648
stock,A,cmp,0,7,278.307
stock,A,cmp,1,7,459.366
stock,A,cmp,2,7,552.486
stock,A,cmp,4,7,730.307
stock,B,scan_count,1,7,276.409
stock,B,sum,1,7,419.792
stock,B,avg,1,7,420.06
stock,B,sum_8add,1,7,2516.694
stock,B,sum_expr_mixed,1,7,1286.005
stock,B,sum_mul,1,7,721.594
stock,B,sum_div,1,7,900.206
stock,B,stddev,1,7,504.448
stock,B,order_by_limit,1,7,0.132
stock,B,where_gt,1,7,458.905
stock,B,text_out,1,7,512.097
stock,B,hash_agg,1,7,917.545
stock,B,hash_join,1,7,1017.198
stock,B,index_scan,1,7,92.311
stock,B,cast_int,1,7,525.782
stock,B,cast_float8,1,7,904.372
stock,B,sum_d,1,7,446.124
stock,B,sum_mul_d,1,7,710.935
stock,B,ref_money_sum,1,7,318.204
stock,B,ref_money_8add,1,7,472.421
stock,B,ref_money_mul2,1,7,333.105
stock,B,ref_bigint_sum,1,7,334.041
stock,B,ref_bigint_8add,1,7,481.41
stock,B,ref_bigint_mul,1,7,352.166
stock,B,ref_float8_sum,1,7,915.845
stock,B,num_mul2,1,7,644.64
dec128,A,add,0,7,293.175
dec128,A,add,1,7,404.103
dec128,A,add,2,7,452.405
dec128,A,add,4,7,547.467
dec128,A,add,8,7,744.943
dec128,A,sub,0,7,291.992
dec128,A,sub,1,7,416.801
dec128,A,sub,2,7,465.158
dec128,A,sub,4,7,560.595
dec128,A,sub,8,7,753.518
dec128,A,mul,0,7,291.436
dec128,A,mul,1,7,414.003
dec128,A,mul,2,7,462.246
dec128,A,mul,4,7,561.309
dec128,A,div,0,7,290.607
dec128,A,div,1,7,560.87
dec128,A,div,2,7,771.115
dec128,A,div,4,7,1227.59
dec128,A,cmp,0,7,291.639
dec128,A,cmp,1,7,369.684
dec128,A,cmp,2,7,403.906
dec128,A,cmp,4,7,483.905
dec128,B,scan_count,1,7,290.689
dec128,B,sum,1,7,317.698
dec128,B,avg,1,7,318.738
dec128,B,sum_8add,1,7,775.509
dec128,B,sum_expr_mixed,1,7,544.871
dec128,B,sum_mul,1,7,446.823
dec128,B,sum_div,1,7,597.967
dec128,B,stddev,1,7,553.246
dec128,B,order_by_limit,1,7,0.11
dec128,B,where_gt,1,7,371.229
dec128,B,text_out,1,7,563.936
dec128,B,hash_agg,1,7,656.324
dec128,B,hash_join,1,7,1006.851
dec128,B,index_scan,1,7,101.544
dec128,B,cast_int,1,7,595.762
dec128,B,cast_float8,1,7,937.894
dec128,B,sum_d,1,7,328.09
dec128,B,sum_mul_d,1,7,474.29
dec128,B,ref_money_sum,1,7,320.547
dec128,B,ref_money_8add,1,7,449.076
dec128,B,ref_money_mul2,1,7,331.738
dec128,B,ref_bigint_sum,1,7,334.64
dec128,B,ref_bigint_8add,1,7,462.619
dec128,B,ref_bigint_mul,1,7,352.9
dec128,B,ref_float8_sum,1,7,940.113
dec128,B,num_mul2,1,7,437.22
stock,A,add,0,8,277.059
stock,A,add,1,8,619.454
stock,A,add,2,8,880.188
stock,A,add,4,8,1417.05
stock,A,add,8,8,2426.791
stock,A,sub,0,8,275.036
stock,A,sub,1,8,679.231
stock,A,sub,2,8,893.78
stock,A,sub,4,8,1449.901
stock,A,sub,8,8,2384.033
stock,A,mul,0,8,276.966
stock,A,mul,1,8,652.585
stock,A,mul,2,8,911.739
stock,A,mul,4,8,1442.678
stock,A,div,0,8,275.19
stock,A,div,1,8,812.75
stock,A,div,2,8,1242.999
stock,A,div,4,8,2161.704
stock,A,cmp,0,8,275.126
stock,A,cmp,1,8,459.851
stock,A,cmp,2,8,551.727
stock,A,cmp,4,8,728.791
stock,B,scan_count,1,8,281.075
stock,B,sum,1,8,417.9
stock,B,avg,1,8,418.888
stock,B,sum_8add,1,8,2494.386
stock,B,sum_expr_mixed,1,8,1285.79
stock,B,sum_mul,1,8,725.38
stock,B,sum_div,1,8,897.697
stock,B,stddev,1,8,504.474
stock,B,order_by_limit,1,8,0.128
stock,B,where_gt,1,8,460.642
stock,B,text_out,1,8,510.956
stock,B,hash_agg,1,8,920.537
stock,B,hash_join,1,8,1000.77
stock,B,index_scan,1,8,92.313
stock,B,cast_int,1,8,526.158
stock,B,cast_float8,1,8,905.987
stock,B,sum_d,1,8,447.455
stock,B,sum_mul_d,1,8,710.456
stock,B,ref_money_sum,1,8,317.615
stock,B,ref_money_8add,1,8,471.982
stock,B,ref_money_mul2,1,8,331.815
stock,B,ref_bigint_sum,1,8,333.371
stock,B,ref_bigint_8add,1,8,482.453
stock,B,ref_bigint_mul,1,8,351.781
stock,B,ref_float8_sum,1,8,916.25
stock,B,num_mul2,1,8,645.945
dec128,A,add,0,8,293.056
dec128,A,add,1,8,404.615
dec128,A,add,2,8,452.031
dec128,A,add,4,8,548.13
dec128,A,add,8,8,745.023
dec128,A,sub,0,8,291.598
dec128,A,sub,1,8,417.118
dec128,A,sub,2,8,466.271
dec128,A,sub,4,8,560.351
dec128,A,sub,8,8,753.231
dec128,A,mul,0,8,291.334
dec128,A,mul,1,8,414.488
dec128,A,mul,2,8,462.248
dec128,A,mul,4,8,561.77
dec128,A,div,0,8,290.988
dec128,A,div,1,8,560.864
dec128,A,div,2,8,771.278
dec128,A,div,4,8,1227.119
dec128,A,cmp,0,8,292.033
dec128,A,cmp,1,8,370.039
dec128,A,cmp,2,8,403.091
dec128,A,cmp,4,8,483.773
dec128,B,scan_count,1,8,290.903
dec128,B,sum,1,8,318.356
dec128,B,avg,1,8,318.14
dec128,B,sum_8add,1,8,775.256
dec128,B,sum_expr_mixed,1,8,546.034
dec128,B,sum_mul,1,8,447.191
dec128,B,sum_div,1,8,598.351
dec128,B,stddev,1,8,553.057
dec128,B,order_by_limit,1,8,0.116
dec128,B,where_gt,1,8,370.429
dec128,B,text_out,1,8,562.793
dec128,B,hash_agg,1,8,655.199
dec128,B,hash_join,1,8,1045.607
dec128,B,index_scan,1,8,101.357
dec128,B,cast_int,1,8,594.261
dec128,B,cast_float8,1,8,936.43
dec128,B,sum_d,1,8,332.02
